Quarter,Net Sales,EUV % ,ArFi %,ArFdry %,KrF %,I-line %,Metrology & Inspection %,Logic %,Memory %,China %,Taiwan %,S Korea %,Japan %,Other Asia %,USA %,EMEA %,EUV #,ArFi #,ArFdry #,KrF #,I-line #
4Q17,"€1,955",25%,56%,4%,10%,1%,4%,47%,53%,9%,29%,32%,4%,2%,12%,12%,5,20,5,20,7
1Q18,"€1,668",7%,72%,4%,14%,1%,2%,26%,74%,20%,3%,51%,0%,1%,5%,20%,1,21,3,19,5
2Q18,"€2,086",32%,49%,4%,10%,1%,4%,46%,54%,19%,18%,35%,4%,1%,19%,4%,7,19,5,19,8
3Q18,"€2,081",25%,58%,3%,9%,1%,4%,42%,58%,18%,30%,33%,9%,3%,5%,2%,5,22,3,18,5
4Q18,"€2,424",24%,57%,3%,10%,1%,5%,60%,40%,18%,20%,26%,3%,1%,32%,0%,5,24,5,22,8
1Q19,"€1,689",22%,60%,4%,9%,2%,3%,60%,40%,15%,43%,25%,1%,1%,15%,1%,4,17,4,14,9
2Q19,"€1,851",41%,41%,2%,11%,1%,4%,61%,39%,12%,46%,26%,3%,0%,10%,3%,7,13,3,19,6
3Q19,"€2,326",32%,51%,7%,6%,1%,3%,79%,21%,7%,54%,11%,2%,0%,26%,0%,7,21,9,14,6
4Q19,"€3,130",29%,56%,4%,6%,2%,3%,83%,17%,14%,57%,10%,4%,0%,12%,3%,8,31,6,18,13
1Q20,"€1,584",22%,52%,7%,13%,3%,3%,73%,27%,19%,30%,29%,4%,0%,15%,3%,2,16,6,22,11
2Q20,"€2,439",39%,41%,5%,10%,1%,4%,62%,38%,23%,21%,38%,0%,0%,17%,1%,7,17,7,23,7
3Q20,"€3,096",66%,21%,1%,8%,1%,3%,79%,21%,21%,47%,26%,0%,0%,5%,1%,14,11,2,23,10
4Q20,"€3,198",36%,45%,4%,11%,1%,3%,72%,28%,12%,39%,31%,6%,0%,4%,8%,8,24,7,35,6
1Q21,"€3,129",36%,47%,2%,11%,1%,3%,78%,22%,15%,43%,44%,1%,0%,3%,0%,7,24,4,35,6
2Q21,"€2,949",45%,34%,5%,11%,1%,4%,72%,28%,17%,36%,39%,1%,0%,6%,1%,9,16,7,31,9
3Q21,"€4,111",54%,32%,3%,7%,1%,3%,61%,39%,10%,46%,33%,1%,0%,10%,0%,15,21,6,30,7
4Q21,"€3,464",46%,35%,3%,10%,1%,5%,73%,27%,22%,51%,27%,0%,0%,0%,0%,11,20,5,35,11
1Q22,"€2,287",26%,47%,6%,12%,2%,7%,50%,50%,34%,22%,29%,7%,1%,6%,1%,3,18,6,26,9
2Q22,"€4,141",48%,33%,4%,10%,1%,4%,71%,29%,10%,41%,33%,3%,1%,10%,2%,12,21,8,38,12
3Q22,"€4,255",51%,31%,3%,10%,1%,4%,68%,32%,15%,47%,24%,4%,1%,5%,4%,12,20,6,38,10
4Q22,"€4,748",49%,31%,4%,12%,1%,3%,64%,36%,9%,48%,28%,3%,3%,7%,2%,13,22,8,49,14
1Q23,"€5,342",54%,30%,3%,9%,1%,3%,70%,30%,8%,49%,26%,1%,0%,15%,1%,17,25,7,43,8
2Q23,"€5,606",37%,49%,2%,9%,1%,2%,84%,16%,24%,34%,27%,2%,1%,10%,2%,12,39,6,43,13
3Q23,"€5,308",35%,48%,4%,10%,1%,2%,76%,24%,46%,24%,20%,0%,1%,5%,4%,11,32,9,44,16
4Q23,"€5,683",40%,38%,5%,12%,2%,3%,63%,37%,39%,13%,25%,3%,1%,11%,8%,13,29,10,54,18
1Q24,"€3,966",46%,39%,3%,8%,1%,3%,63%,37%,49%,6%,19%,0%,0%,6%,20%,11,20,4,25,10
2Q24,"€4,761",31%,50%,7%,9%,2%,1%,54%,46%,49%,11%,28%,3%,2%,3%,4%,8,32,11,33,16
3Q24,"€5,926",35%,48%,3%,10%,2%,2%,64%,36%,47%,15%,15%,2%,0%,21%,0%,11,38,7,42,18
4Q24,"€7,116",42%,41%,2%,9%,2%,4%,61%,39%,27%,10%,25%,10%,0%,28%,0%,14,39,6,52,21
1Q25,"€5,740",56%,33%,2%,5%,1%,3%,58%,42%,27%,16%,40%,1%,0%,16%,0%,14,25,3,22,13
2Q25,"€5,596",48%,43%,2%,4%,1%,2%,69%,31%,27%,35%,19%,5%,2%,10%,2%,11,31,4,16,14
3Q25,"€5,554",38%,52%,2%,3%,1%,4%,65%,35%,42%,30%,18%,1%,3%,6%,0%,9,38,4,11,10
